latitude,longitude
41.78,-87.54
41.78,-87.5
41.78,-87.46
41.78,-87.42
41.78,-87.38
41.78,-87.34
41.78,-87.3
41.78,-87.26
41.78,-87.22
41.78,-87.18
41.78,-87.14
41.78,-87.1
41.78,-87.06
41.78,-87.02
41.78,-86.98
41.78,-86.94
41.78,-86.9
41.78,-86.86
41.78,-86.82
41.82,-87.54
41.82,-87.5
41.82,-87.46
41.82,-87.42
41.82,-87.38
41.82,-87.34
41.82,-87.3
41.82,-87.26
41.82,-87.22
41.82,-87.18
41.82,-87.14
41.82,-87.1
41.82,-87.06
41.82,-87.02
41.82,-86.98
41.82,-86.94
41.82,-86.9
41.82,-86.86
41.82,-86.82
41.82,-86.78
41.82,-86.74
41.86,-87.58
41.86,-87.54
41.86,-87.5
41.86,-87.46
41.86,-87.42
41.86,-87.38
41.86,-87.34
41.86,-87.3
41.86,-87.26
41.86,-87.22
41.86,-87.18
41.86,-87.14
41.86,-87.1
41.86,-87.06
41.86,-87.02
41.86,-86.98
41.86,-86.94
41.86,-86.9
41.86,-86.86
41.86,-86.82
41.86,-86.78
41.86,-86.74
41.86,-86.7
41.9,-87.58
41.9,-87.54
41.9,-87.5
41.9,-87.46
41.9,-87.42
41.9,-87.38
41.9,-87.34
41.9,-87.3
41.9,-87.26
41.9,-87.22
41.9,-87.18
41.9,-87.14
41.9,-87.1
41.9,-87.06
41.9,-87.02
41.9,-86.98
41.9,-86.94
41.9,-86.9
41.9,-86.86
41.9,-86.82
41.9,-86.78
41.9,-86.74
41.9,-86.7
41.9,-86.66
41.9,-86.62
41.94,-87.62
41.94,-87.58
41.94,-87.54
41.94,-87.5
41.94,-87.46
41.94,-87.42
41.94,-87.38
41.94,-87.34
41.94,-87.3
41.94,-87.26
41.94,-87.22
41.94,-87.18
41.94,-87.14
41.94,-87.1
41.94,-87.06
41.94,-87.02
41.94,-86.98
41.94,-86.94
41.94,-86.9
41.94,-86.86
41.94,-86.82
41.94,-86.78
41.94,-86.74
41.94,-86.7
41.94,-86.66
41.94,-86.62
41.98,-87.62
41.98,-87.58
41.98,-87.54
41.98,-87.5
41.98,-87.46
41.98,-87.42
41.98,-87.38
41.98,-87.34
41.98,-87.3
41.98,-87.26
41.98,-87.22
41.98,-87.18
41.98,-87.14
41.98,-87.1
41.98,-87.06
41.98,-87.02
41.98,-86.98
41.98,-86.94
41.98,-86.9
41.98,-86.86
41.98,-86.82
41.98,-86.78
41.98,-86.74
41.98,-86.7
41.98,-86.66
41.98,-86.62
41.98,-86.58
42.02,-87.66
42.02,-87.62
42.02,-87.58
42.02,-87.54
42.02,-87.5
42.02,-87.46
42.02,-87.42
42.02,-87.38
42.02,-87.34
42.02,-87.3
42.02,-87.26
42.02,-87.22
42.02,-87.18
42.02,-87.14
42.02,-87.1
42.02,-87.06
42.02,-87.02
42.02,-86.98
42.02,-86.94
42.02,-86.9
42.02,-86.86
42.02,-86.82
42.02,-86.78
42.02,-86.74
42.02,-86.7
42.02,-86.66
42.02,-86.62
42.02,-86.58
42.06,-87.66
42.06,-87.62
42.06,-87.58
42.06,-87.54
42.06,-87.5
42.06,-87.46
42.06,-87.42
42.06,-87.38
42.06,-87.34
42.06,-87.3
42.06,-87.26
42.06,-87.22
42.06,-87.18
42.06,-87.14
42.06,-87.1
42.06,-87.06
42.06,-87.02
42.06,-86.98
42.06,-86.94
42.06,-86.9
42.06,-86.86
42.06,-86.82
42.06,-86.78
42.06,-86.74
42.06,-86.7
42.06,-86.66
42.06,-86.62
42.06,-86.58
42.06,-86.54
42.1,-87.66
42.1,-87.62
42.1,-87.58
42.1,-87.54
42.1,-87.5
42.1,-87.46
42.1,-87.42
42.1,-87.38
42.1,-87.34
42.1,-87.3
42.1,-87.26
42.1,-87.22
42.1,-87.18
42.1,-87.14
42.1,-87.1
42.1,-87.06
42.1,-87.02
42.1,-86.98
42.1,-86.94
42.1,-86.9
42.1,-86.86
42.1,-86.82
42.1,-86.78
42.1,-86.74
42.1,-86.7
42.1,-86.66
42.1,-86.62
42.1,-86.58
42.1,-86.54
42.14,-87.7
42.14,-87.66
42.14,-87.62
42.14,-87.58
42.14,-87.54
42.14,-87.5
42.14,-87.46
42.14,-87.42
42.14,-87.38
42.14,-87.34
42.14,-87.3
42.14,-87.26
42.14,-87.22
42.14,-87.18
42.14,-87.14
42.14,-87.1
42.14,-87.06
42.14,-87.02
42.14,-86.98
42.14,-86.94
42.14,-86.9
42.14,-86.86
42.14,-86.82
42.14,-86.78
42.14,-86.74
42.14,-86.7
42.14,-86.66
42.14,-86.62
42.14,-86.58
42.14,-86.54
42.14,-86.5
42.18,-87.74
42.18,-87.7
42.18,-87.66
42.18,-87.62
42.18,-87.58
42.18,-87.54
42.18,-87.5
42.18,-87.46
42.18,-87.42
42.18,-87.38
42.18,-87.34
42.18,-87.3
42.18,-87.26
42.18,-87.22
42.18,-87.18
42.18,-87.14
42.18,-87.1
42.18,-87.06
42.18,-87.02
42.18,-86.98
42.18,-86.94
42.18,-86.9
42.18,-86.86
42.18,-86.82
42.18,-86.78
42.18,-86.74
42.18,-86.7
42.18,-86.66
42.18,-86.62
42.18,-86.58
42.18,-86.54
42.18,-86.5
42.18,-86.46
42.22,-87.78
42.22,-87.74
42.22,-87.7
42.22,-87.66
42.22,-87.62
42.22,-87.58
42.22,-87.54
42.22,-87.5
42.22,-87.46
42.22,-87.42
42.22,-87.38
42.22,-87.34
42.22,-87.3
42.22,-87.26
42.22,-87.22
42.22,-87.18
42.22,-87.14
42.22,-87.1
42.22,-87.06
42.22,-87.02
42.22,-86.98
42.22,-86.94
42.22,-86.9
42.22,-86.86
42.22,-86.82
42.22,-86.78
42.22,-86.74
42.22,-86.7
42.22,-86.66
42.22,-86.62
42.22,-86.58
42.22,-86.54
42.22,-86.5
42.22,-86.46
42.22,-86.42
42.26,-87.78
42.26,-87.74
42.26,-87.7
42.26,-87.66
42.26,-87.62
42.26,-87.58
42.26,-87.54
42.26,-87.5
42.26,-87.46
42.26,-87.42
42.26,-87.38
42.26,-87.34
42.26,-87.3
42.26,-87.26
42.26,-87.22
42.26,-87.18
42.26,-87.14
42.26,-87.1
42.26,-87.06
42.26,-87.02
42.26,-86.98
42.26,-86.94
42.26,-86.9
42.26,-86.86
42.26,-86.82
42.26,-86.78
42.26,-86.74
42.26,-86.7
42.26,-86.66
42.26,-86.62
42.26,-86.58
42.26,-86.54
42.26,-86.5
42.26,-86.46
42.26,-86.42
42.26,-86.38
42.3,-87.82
42.3,-87.78
42.3,-87.74
42.3,-87.7
42.3,-87.66
42.3,-87.62
42.3,-87.58
42.3,-87.54
42.3,-87.5
42.3,-87.46
42.3,-87.42
42.3,-87.38
42.3,-87.34
42.3,-87.3
42.3,-87.26
42.3,-87.22
42.3,-87.18
42.3,-87.14
42.3,-87.1
42.3,-87.06
42.3,-87.02
42.3,-86.98
42.3,-86.94
42.3,-86.9
42.3,-86.86
42.3,-86.82
42.3,-86.78
42.3,-86.74
42.3,-86.7
42.3,-86.66
42.3,-86.62
42.3,-86.58
42.3,-86.54
42.3,-86.5
42.3,-86.46
42.3,-86.42
42.3,-86.38
42.3,-86.34
42.34,-87.82
42.34,-87.78
42.34,-87.74
42.34,-87.7
42.34,-87.66
42.34,-87.62
42.34,-87.58
42.34,-87.54
42.34,-87.5
42.34,-87.46
42.34,-87.42
42.34,-87.38
42.34,-87.34
42.34,-87.3
42.34,-87.26
42.34,-87.22
42.34,-87.18
42.34,-87.14
42.34,-87.1
42.34,-87.06
42.34,-87.02
42.34,-86.98
42.34,-86.94
42.34,-86.9
42.34,-86.86
42.34,-86.82
42.34,-86.78
42.34,-86.74
42.34,-86.7
42.34,-86.66
42.34,-86.62
42.34,-86.58
42.34,-86.54
42.34,-86.5
42.34,-86.46
42.34,-86.42
42.34,-86.38
42.34,-86.34
42.38,-87.78
42.38,-87.74
42.38,-87.7
42.38,-87.66
42.38,-87.62
42.38,-87.58
42.38,-87.54
42.38,-87.5
42.38,-87.46
42.38,-87.42
42.38,-87.38
42.38,-87.34
42.38,-87.3
42.38,-87.26
42.38,-87.22
42.38,-87.18
42.38,-87.14
42.38,-87.1
42.38,-87.06
42.38,-87.02
42.38,-86.98
42.38,-86.94
42.38,-86.9
42.38,-86.86
42.38,-86.82
42.38,-86.78
42.38,-86.74
42.38,-86.7
42.38,-86.66
42.38,-86.62
42.38,-86.58
42.38,-86.54
42.38,-86.5
42.38,-86.46
42.38,-86.42
42.38,-86.38
42.38,-86.34
42.42,-87.78
42.42,-87.74
42.42,-87.7
42.42,-87.66
42.42,-87.62
42.42,-87.58
42.42,-87.54
42.42,-87.5
42.42,-87.46
42.42,-87.42
42.42,-87.38
42.42,-87.34
42.42,-87.3
42.42,-87.26
42.42,-87.22
42.42,-87.18
42.42,-87.14
42.42,-87.1
42.42,-87.06
42.42,-87.02
42.42,-86.98
42.42,-86.94
42.42,-86.9
42.42,-86.86
42.42,-86.82
42.42,-86.78
42.42,-86.74
42.42,-86.7
42.42,-86.66
42.42,-86.62
42.42,-86.58
42.42,-86.54
42.42,-86.5
42.42,-86.46
42.42,-86.42
42.42,-86.38
42.42,-86.34
42.42,-86.3
42.46,-87.78
42.46,-87.74
42.46,-87.7
42.46,-87.66
42.46,-87.62
42.46,-87.58
42.46,-87.54
42.46,-87.5
42.46,-87.46
42.46,-87.42
42.46,-87.38
42.46,-87.34
42.46,-87.3
42.46,-87.26
42.46,-87.22
42.46,-87.18
42.46,-87.14
42.46,-87.1
42.46,-87.06
42.46,-87.02
42.46,-86.98
42.46,-86.94
42.46,-86.9
42.46,-86.86
42.46,-86.82
42.46,-86.78
42.46,-86.74
42.46,-86.7
42.46,-86.66
42.46,-86.62
42.46,-86.58
42.46,-86.54
42.46,-86.5
42.46,-86.46
42.46,-86.42
42.46,-86.38
42.46,-86.34
42.46,-86.3
42.5,-87.78
42.5,-87.74
42.5,-87.7
42.5,-87.66
42.5,-87.62
42.5,-87.58
42.5,-87.54
42.5,-87.5
42.5,-87.46
42.5,-87.42
42.5,-87.38
42.5,-87.34
42.5,-87.3
42.5,-87.26
42.5,-87.22
42.5,-87.18
42.5,-87.14
42.5,-87.1
42.5,-87.06
42.5,-87.02
42.5,-86.98
42.5,-86.94
42.5,-86.9
42.5,-86.86
42.5,-86.82
42.5,-86.78
42.5,-86.74
42.5,-86.7
42.5,-86.66
42.5,-86.62
42.5,-86.58
42.5,-86.54
42.5,-86.5
42.5,-86.46
42.5,-86.42
42.5,-86.38
42.5,-86.34
42.5,-86.3
42.54,-87.78
42.54,-87.74
42.54,-87.7
42.54,-87.66
42.54,-87.62
42.54,-87.58
42.54,-87.54
42.54,-87.5
42.54,-87.46
42.54,-87.42
42.54,-87.38
42.54,-87.34
42.54,-87.3
42.54,-87.26
42.54,-87.22
42.54,-87.18
42.54,-87.14
42.54,-87.1
42.54,-87.06
42.54,-87.02
42.54,-86.98
42.54,-86.94
42.54,-86.9
42.54,-86.86
42.54,-86.82
42.54,-86.78
42.54,-86.74
42.54,-86.7
42.54,-86.66
42.54,-86.62
42.54,-86.58
42.54,-86.54
42.54,-86.5
42.54,-86.46
42.54,-86.42
42.54,-86.38
42.54,-86.34
42.54,-86.3
42.54,-86.26
42.58,-87.78
42.58,-87.74
42.58,-87.7
42.58,-87.66
42.58,-87.62
42.58,-87.58
42.58,-87.54
42.58,-87.5
42.58,-87.46
42.58,-87.42
42.58,-87.38
42.58,-87.34
42.58,-87.3
42.58,-87.26
42.58,-87.22
42.58,-87.18
42.58,-87.14
42.58,-87.1
42.58,-87.06
42.58,-87.02
42.58,-86.98
42.58,-86.94
42.58,-86.9
42.58,-86.86
42.58,-86.82
42.58,-86.78
42.58,-86.74
42.58,-86.7
42.58,-86.66
42.58,-86.62
42.58,-86.58
42.58,-86.54
42.58,-86.5
42.58,-86.46
42.58,-86.42
42.58,-86.38
42.58,-86.34
42.58,-86.3
42.58,-86.26
42.62,-87.82
42.62,-87.78
42.62,-87.74
42.62,-87.7
42.62,-87.66
42.62,-87.62
42.62,-87.58
42.62,-87.54
42.62,-87.5
42.62,-87.46
42.62,-87.42
42.62,-87.38
42.62,-87.34
42.62,-87.3
42.62,-87.26
42.62,-87.22
42.62,-87.18
42.62,-87.14
42.62,-87.1
42.62,-87.06
42.62,-87.02
42.62,-86.98
42.62,-86.94
42.62,-86.9
42.62,-86.86
42.62,-86.82
42.62,-86.78
42.62,-86.74
42.62,-86.7
42.62,-86.66
42.62,-86.62
42.62,-86.58
42.62,-86.54
42.62,-86.5
42.62,-86.46
42.62,-86.42
42.62,-86.38
42.62,-86.34
42.62,-86.3
42.62,-86.26
42.66,-87.78
42.66,-87.74
42.66,-87.7
42.66,-87.66
42.66,-87.62
42.66,-87.58
42.66,-87.54
42.66,-87.5
42.66,-87.46
42.66,-87.42
42.66,-87.38
42.66,-87.34
42.66,-87.3
42.66,-87.26
42.66,-87.22
42.66,-87.18
42.66,-87.14
42.66,-87.1
42.66,-87.06
42.66,-87.02
42.66,-86.98
42.66,-86.94
42.66,-86.9
42.66,-86.86
42.66,-86.82
42.66,-86.78
42.66,-86.74
42.66,-86.7
42.66,-86.66
42.66,-86.62
42.66,-86.58
42.66,-86.54
42.66,-86.5
42.66,-86.46
42.66,-86.42
42.66,-86.38
42.66,-86.34
42.66,-86.3
42.66,-86.26
42.7,-87.74
42.7,-87.7
42.7,-87.66
42.7,-87.62
42.7,-87.58
42.7,-87.54
42.7,-87.5
42.7,-87.46
42.7,-87.42
42.7,-87.38
42.7,-87.34
42.7,-87.3
42.7,-87.26
42.7,-87.22
42.7,-87.18
42.7,-87.14
42.7,-87.1
42.7,-87.06
42.7,-87.02
42.7,-86.98
42.7,-86.94
42.7,-86.9
42.7,-86.86
42.7,-86.82
42.7,-86.78
42.7,-86.74
42.7,-86.7
42.7,-86.66
42.7,-86.62
42.7,-86.58
42.7,-86.54
42.7,-86.5
42.7,-86.46
42.7,-86.42
42.7,-86.38
42.7,-86.34
42.7,-86.3
42.7,-86.26
42.7,-86.22
42.74,-87.74
42.74,-87.7
42.74,-87.66
42.74,-87.62
42.74,-87.58
42.74,-87.54
42.74,-87.5
42.74,-87.46
42.74,-87.42
42.74,-87.38
42.74,-87.34
42.74,-87.3
42.74,-87.26
42.74,-87.22
42.74,-87.18
42.74,-87.14
42.74,-87.1
42.74,-87.06
42.74,-87.02
42.74,-86.98
42.74,-86.94
42.74,-86.9
42.74,-86.86
42.74,-86.82
42.74,-86.78
42.74,-86.74
42.74,-86.7
42.74,-86.66
42.74,-86.62
42.74,-86.58
42.74,-86.54
42.74,-86.5
42.74,-86.46
42.74,-86.42
42.74,-86.38
42.74,-86.34
42.74,-86.3
42.74,-86.26
42.74,-86.22
42.78,-87.74
42.78,-87.7
42.78,-87.66
42.78,-87.62
42.78,-87.58
42.78,-87.54
42.78,-87.5
42.78,-87.46
42.78,-87.42
42.78,-87.38
42.78,-87.34
42.78,-87.3
42.78,-87.26
42.78,-87.22
42.78,-87.18
42.78,-87.14
42.78,-87.1
42.78,-87.06
42.78,-87.02
42.78,-86.98
42.78,-86.94
42.78,-86.9
42.78,-86.86
42.78,-86.82
42.78,-86.78
42.78,-86.74
42.78,-86.7
42.78,-86.66
42.78,-86.62
42.78,-86.58
42.78,-86.54
42.78,-86.5
42.78,-86.46
42.78,-86.42
42.78,-86.38
42.78,-86.34
42.78,-86.3
42.78,-86.26
42.82,-87.74
42.82,-87.7
42.82,-87.66
42.82,-87.62
42.82,-87.58
42.82,-87.54
42.82,-87.5
42.82,-87.46
42.82,-87.42
42.82,-87.38
42.82,-87.34
42.82,-87.3
42.82,-87.26
42.82,-87.22
42.82,-87.18
42.82,-87.14
42.82,-87.1
42.82,-87.06
42.82,-87.02
42.82,-86.98
42.82,-86.94
42.82,-86.9
42.82,-86.86
42.82,-86.82
42.82,-86.78
42.82,-86.74
42.82,-86.7
42.82,-86.66
42.82,-86.62
42.82,-86.58
42.82,-86.54
42.82,-86.5
42.82,-86.46
42.82,-86.42
42.82,-86.38
42.82,-86.34
42.82,-86.3
42.82,-86.26
42.86,-87.82
42.86,-87.78
42.86,-87.74
42.86,-87.7
42.86,-87.66
42.86,-87.62
42.86,-87.58
42.86,-87.54
42.86,-87.5
42.86,-87.46
42.86,-87.42
42.86,-87.38
42.86,-87.34
42.86,-87.3
42.86,-87.26
42.86,-87.22
42.86,-87.18
42.86,-87.14
42.86,-87.1
42.86,-87.06
42.86,-87.02
42.86,-86.98
42.86,-86.94
42.86,-86.9
42.86,-86.86
42.86,-86.82
42.86,-86.78
42.86,-86.74
42.86,-86.7
42.86,-86.66
42.86,-86.62
42.86,-86.58
42.86,-86.54
42.86,-86.5
42.86,-86.46
42.86,-86.42
42.86,-86.38
42.86,-86.34
42.86,-86.3
42.86,-86.26
42.86,-86.22
42.9,-87.82
42.9,-87.78
42.9,-87.74
42.9,-87.7
42.9,-87.66
42.9,-87.62
42.9,-87.58
42.9,-87.54
42.9,-87.5
42.9,-87.46
42.9,-87.42
42.9,-87.38
42.9,-87.34
42.9,-87.3
42.9,-87.26
42.9,-87.22
42.9,-87.18
42.9,-87.14
42.9,-87.1
42.9,-87.06
42.9,-87.02
42.9,-86.98
42.9,-86.94
42.9,-86.9
42.9,-86.86
42.9,-86.82
42.9,-86.78
42.9,-86.74
42.9,-86.7
42.9,-86.66
42.9,-86.62
42.9,-86.58
42.9,-86.54
42.9,-86.5
42.9,-86.46
42.9,-86.42
42.9,-86.38
42.9,-86.34
42.9,-86.3
42.9,-86.26
42.94,-87.82
42.94,-87.78
42.94,-87.74
42.94,-87.7
42.94,-87.66
42.94,-87.62
42.94,-87.58
42.94,-87.54
42.94,-87.5
